query_name,id,display_name,works_api_url,h_index,works_count,country_code,matched,error
Ahmet Furkan Ün,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Ahmet+Furkan+%C3%9Cn&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Aimee Smith,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Aimee+Smith&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Akhil Arora,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Akhil+Arora&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Akihiro Kameda,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Akihiro+Kameda&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Akiko Matsuo,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Akiko+Matsuo&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Akira Matsui,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Akira+Matsui&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Akrati Saxena,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Akrati+Saxena&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alec Kirkley,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alec+Kirkley&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alejandro De la fuente Cuesta,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alejandro+De+la+fuente+Cuesta&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Aleksandra Torbica,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Aleksandra+Torbica&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alessandro Cortese,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alessandro+Cortese&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alessandro Flammini,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alessandro+Flammini&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alessandro Galeazzi,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alessandro+Galeazzi&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alessandro Lomi,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alessandro+Lomi&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alessandro Pluchino,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alessandro+Pluchino&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alessandro Riboni,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alessandro+Riboni&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alessia Galdeman,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alessia+Galdeman&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alessia Melegaro,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alessia+Melegaro&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alex Berke,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alex+Berke&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alex Koch,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alex+Koch&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alex Pentland,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alex+Pentland&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alexander Hartland,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alexander+Hartland&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alexander Mintz,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alexander+Mintz&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alexandra Rottenkolber,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alexandra+Rottenkolber&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alexandra Segerberg,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alexandra+Segerberg&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alexandre Bovet,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alexandre+Bovet&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alexandre Evsukoff,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alexandre+Evsukoff&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alexandria Leto,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alexandria+Leto&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alexi Quintana Mathé,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alexi+Quintana+Math%C3%A9&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Ali Salloum,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Ali+Salloum&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Ali Tafti,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Ali+Tafti&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Aliakbar Akbaritabar,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Aliakbar+Akbaritabar&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alina Herderich,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alina+Herderich&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alisa Kanganis,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alisa+Kanganis&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Allison Koenecke,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Allison+Koenecke&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Almog Simchon,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Almog+Simchon&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Alvin Zhou,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Alvin+Zhou&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Amal Labbouz,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Amal+Labbouz&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Amir Ghasemian,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Amir+Ghasemian&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Amir Goldberg,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Amir+Goldberg&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Amir Tohidi Kalorazi,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Amir+Tohidi+Kalorazi&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
AmirEmad Ghassami,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=AmirEmad+Ghassami&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Amirhossein Nakhaei,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Amirhossein+Nakhaei&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Amit Goldenberg,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Amit+Goldenberg&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Amr Hilal,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Amr+Hilal&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Amy L Murphy,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Amy+L+Murphy&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Ana Ma,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Ana+Ma&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Ana Vranić,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Ana+Vrani%C4%87&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Anastasia Giachanou,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Anastasia+Giachanou&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Anastasia Golovin,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Anastasia+Golovin&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Anastasia Menshikova,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Anastasia+Menshikova&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Anastassia Vybornova,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Anastassia+Vybornova&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Anca Balietti,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Anca+Balietti&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Anders Giovanni Møller,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Anders+Giovanni+M%C3%B8ller&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Anders Weile,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Anders+Weile&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Anding Wang,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Anding+Wang&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Andrea Bamberg Migliano,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Andrea+Bamberg+Migliano&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Andrea Baronchelli,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Andrea+Baronchelli&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Andrea Baños-Ramos,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Andrea+Ba%C3%B1os-Ramos&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Andrea Civilini,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Andrea+Civilini&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Andrea Lo Sasso,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Andrea+Lo+Sasso&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Andrea Rapisarda,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Andrea+Rapisarda&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Andrea W Wen-Yi,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Andrea+W+Wen-Yi&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Andreas Bjerre-Nielsen,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Andreas+Bjerre-Nielsen&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Andreas Christian Schneider,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Andreas+Christian+Schneider&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Andreas Flache,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Andreas+Flache&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Andreas Kaltenbrunner,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Andreas+Kaltenbrunner&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
